date,strategy_nav,n_positions,cash,position_value,strategy_daily_ret,strategy_cum_ret,drawdown
2024-10-18,2.16924671926713,5,2811.672106003786,214112.99982070923,0.008484417550551848,1.16924671926713,0.0
2024-10-21,2.306629806539583,6,488.9755746889364,230174.0050792694,0.06333216321233737,1.3066298065395832,0.0
2024-10-22,2.2242697410793784,6,488.9755746889364,221937.9985332489,-0.035705801263255954,1.2242697410793784,-0.03570580126325592
2024-10-23,2.093859806558657,6,488.9755746889364,208897.00508117676,-0.05863044940648121,1.0938598065586569,-0.09224280349525389
2024-10-24,2.2688897652836326,6,488.9755746889364,226400.00095367432,0.08359201422020912,1.2688897652836326,-0.01636155101653192
2024-10-30,2.8862396493168356,6,488.9755746889364,288134.9893569946,0.27209337953711854,1.8862396493168356,0.0
2024-10-31,3.104900738740587,5,4260.0666070604575,306230.0072669983,0.07575985226157766,2.104900738740587,0.0
2024-11-04,3.027790536428118,5,4260.0666070604575,298518.98703575134,-0.02483499757346408,2.027790536428118,-0.024834997573464055
2024-11-05,3.005570609117174,5,4260.0666070604575,296296.994304657,-0.0073386606648017105,2.005570609117174,-0.03199140261846291
2024-11-06,2.8437581588070397,6,114.82354443075837,284260.9923362732,-0.05383751418758498,1.8437581588070397,-0.08410657921369567
2024-11-12,2.7265582968037134,6,114.82354443075837,272541.00613594055,-0.04121302004544991,1.7265582968037134,-0.12185331312405734
2024-11-13,2.6305483008663657,6,114.82354443075837,262940.0065422058,-0.03521288946944512,1.6305483008663657,-0.15277539534697934
2024-11-18,2.2677766139297963,5,4082.6585987139006,222695.00279426575,-0.13790725181403862,1.2677766139297963,-0.2696138122439128
2024-11-19,2.3649652537694936,8,322.5309311485547,236173.99444580078,0.042856355093670695,1.3649652537694936,-0.23831212242592556
2024-11-20,2.443155343818307,7,225.52931782009864,244090.00506401062,0.03306183459743739,1.4431553438183071,-0.2131293238026984
2024-11-21,2.502999933627296,7,641.9975188422468,249657.99584388733,0.024494795208339193,1.502999933627296,-0.19385508773379817
2024-11-22,2.2980144361557246,6,1834.445324556854,227966.99829101562,-0.08189592605162821,1.2980144361557246,-0.2598750718556473
2024-11-25,2.422628028254533,5,3862.80497122052,238399.9978542328,0.054226635889751185,1.422628028254533,-0.21974058686423525
2024-11-26,2.271342386295724,6,1990.2434399056704,225143.99518966675,-0.06244691310197048,1.271342386295724,-0.2684653786333188
2024-11-27,2.300667724572778,5,3889.770885622528,226177.00157165527,0.012911016169992795,1.300667724572778,-0.2590205233079441
2024-11-28,2.3322103025432828,6,1434.0344619393618,231786.99579238892,0.013710184062482034,1.3322103025432828,-0.24886155829597434
2024-11-29,2.288000414085031,6,1434.0344619393618,227366.00694656372,-0.018956218660916124,1.288000414085031,-0.2631003028415356
2024-12-02,2.3522303974148038,6,1434.0344619393618,233789.00527954102,0.028072540081011343,1.3522303974148038,-0.24241365655736943
2024-12-03,2.304010283183694,6,1434.0344619393618,228966.99385643005,-0.020499741132546156,1.3040102831836942,-0.2579439804834956
2024-12-19,2.072980362605691,6,1434.0344619393618,205864.00179862976,-0.10027295549165893,1.072980362605691,-0.3323521307007916
2024-12-20,2.07795036287272,6,1434.0344619393618,206361.00182533264,0.00239751439843916,1.0779503628727198,-0.33075143532105955
2024-12-23,2.005809100203872,7,1022.911148583916,199557.99887180328,-0.034717510080035874,1.005809100203872,-0.35398607911135016
2024-12-24,2.006774567059517,6,1369.4600514412195,199307.9966545105,0.0004813353651387242,1.0067745670595172,-0.35367512976485455
2024-12-25,1.9340646404542925,6,1369.4600514412195,192037.00399398804,-0.03623223445160806,0.9340646404542925,-0.3770929239951195
2024-12-26,1.9495446643152239,6,1369.4600514412195,193585.00638008118,0.008003881326994033,0.9495446643152239,-0.37210724968103165
2024-12-27,1.9612446646013262,6,1369.4600514412195,194755.0064086914,0.006001401506854798,0.9612446646013262,-0.3683390131831241
2024-12-30,1.9441146382608416,6,1369.4600514412195,193042.00377464294,-0.008734262812624016,0.9441146382608416,-0.3738561062504641
2024-12-31,1.875724556855202,6,1369.4600514412195,186202.99563407898,-0.035178008569916375,0.8757245568552019,-0.3958826015107861
2025-01-02,1.8302246312417987,6,1369.4600514412195,181653.00307273865,-0.0242572532556099,0.8302246312417987,-0.41053683024205917
2025-01-03,1.6939945520677568,6,1369.4600514412195,168029.99515533447,-0.07443352955074722,0.6939945520677568,-0.45441265450731394
2025-01-06,1.6729587855926518,4,7197.873502883938,160098.00505638123,-0.012417847772549173,0.6729587855926518,-0.46118767511027137
2025-01-07,1.7066614182659152,5,4749.139148674039,165917.00267791748,0.020145524781307822,0.7066614182659152,-0.4503330180667312
2025-01-08,1.7095997631410602,6,346.9801173591891,170612.99619674683,0.0017216917448865665,0.7095997631410602,-0.44938666096149993
2025-01-09,1.7274197575906758,6,346.9801173591891,172394.99564170837,0.010423489072597159,0.7274197575906758,-0.4436473488388059
2025-01-10,1.6690344022505763,7,118.43861334803518,166785.0016117096,-0.033799170747897844,0.6690344022505763,-0.4624516070914487
