date,symbol,shares
2025-02-07,301377,100
2025-02-07,600601,100
2025-02-07,002131,700
2025-02-07,300058,100
2025-02-17,601777,2700
2025-02-17,000158,6500
2025-02-17,002261,1400
2025-02-17,002156,100
2025-02-17,301377,100
2025-02-17,600601,100
2025-02-17,002131,700
2025-02-17,300058,100
2025-02-18,601777,2700
2025-02-18,000158,6500
2025-02-18,002261,1400
2025-02-18,002156,100
2025-02-18,301377,100
2025-02-18,600601,100
2025-02-18,002131,700
2025-02-19,601777,2700
2025-02-19,000158,6500
2025-02-19,002261,1400
2025-02-19,002156,100
2025-02-19,301377,100
2025-02-19,600601,100
2025-02-19,002131,700
2025-02-20,601777,2700
2025-02-20,000158,6500
2025-02-20,002261,1400
2025-02-20,002156,100
2025-02-20,301377,100
2025-02-20,600601,100
2025-02-20,002131,700
2025-02-27,601777,2700
2025-02-27,000158,6500
2025-02-27,002261,1400
2025-02-27,002156,100
2025-02-27,301377,100
2025-02-27,600601,100
2025-02-27,002131,700
2025-02-28,601777,2700
2025-02-28,000158,6500
2025-02-28,002261,1400
2025-02-28,002156,100
2025-02-28,301377,100
2025-02-28,600601,100
2025-02-28,000785,600
2025-03-03,601777,2700
2025-03-03,000158,6500
2025-03-03,002261,1400
2025-03-03,002156,100
2025-03-03,301377,100
2025-03-03,600601,100
2025-03-04,601777,2700
2025-03-04,000158,6500
2025-03-04,002261,1400
2025-03-04,002156,100
2025-03-04,301377,100
2025-03-04,600601,100
2025-03-04,600588,100
2025-03-05,601777,2700
2025-03-05,000158,6500
2025-03-05,002261,1400
2025-03-05,002156,100
2025-03-05,301377,100
2025-03-05,600601,100
2025-03-05,600588,100
2025-03-06,601777,2700
2025-03-06,000158,6500
2025-03-06,002261,1400
2025-03-06,002156,100
2025-03-06,301377,100
2025-03-06,600601,100
2025-03-06,600588,100
2025-03-06,002436,100
2025-03-07,601777,2700
2025-03-07,000158,6500
2025-03-07,002261,1400
2025-03-07,002156,100
2025-03-07,301377,100
2025-03-07,600601,100
2025-03-07,600588,100
2025-03-27,601777,2700
2025-03-27,000158,6500
2025-03-27,002261,1400
2025-03-27,002156,100
2025-03-27,301377,100
2025-03-27,600601,100
2025-03-28,601777,2700
2025-03-28,000158,6500
2025-03-28,002261,1400
