feature,rf_importance,rf_importance_norm,mic_score,mic_norm,combined_score
ret_10d,0.010816765116642887,0.010816765116642887,0.02278820980359256,0.2714899415787717,0.1411533533477073
ma_5_bias,0.014763790523179308,0.014763790523179308,0.0216891621514238,0.2583963117828698,0.13658005115302457
vol_ma20,0.015816451202070626,0.015816451202070626,0.021061086000668108,0.25091365478851474,0.1333650529952927
volume,0.015655720175740417,0.015655720175740417,0.020917204807110693,0.24919950974729135,0.1324276149615159
price_position_20,0.009363188191657653,0.009363188191657653,0.019853910716297694,0.23653183409027836,0.12294751114096801
J,0.012602048531196485,0.012602048531196485,0.016631593029536287,0.1981423841042079,0.10537221631770219
BB_lower,0.008764651923855055,0.008764651923855055,0.016844413054470753,0.20067783979090875,0.1047212458573819
ma_120,0.01336254927052128,0.01336254927052128,0.01642631414789153,0.19569677068984023,0.10452965998018075
ret_20d,0.011606264515526743,0.011606264515526743,0.016300447963285964,0.19419724951639902,0.10290175701596288
MACD_DIF,0.009269892402241988,0.009269892402241988,0.016202989364381394,0.19303616536143484,0.10115302888183841
vol_ma5,0.01516971708671988,0.01516971708671988,0.015463716118030523,0.18422874906184883,0.09969923307428435
ma_60,0.011715657172281204,0.011715657172281204,0.015666946580647666,0.18664995840205142,0.09918280778716632
yellow_line,0.010424913460180802,0.010424913460180802,0.015406882197664727,0.18355165165697193,0.09698828255857636
BB_pct_b,0.008721305596834487,0.008721305596834487,0.015184562959423812,0.18090302600703836,0.09481216580193642
ma_20,0.008375307695416246,0.008375307695416246,0.014836051034823695,0.1767509893677112,0.09256314853156372
MACD_HIST_sign,0.0006909162516273007,0.0006909162516273007,0.015383588476517517,0.18327413924823452,0.0919825277499309
white_line,0.00978700122203224,0.00978700122203224,0.014442040746441015,0.1720569027722128,0.09092195199712252
RSI_24,0.010640585013619133,0.010640585013619133,0.014331771134260887,0.17074319314663364,0.09069188908012639
J_prev,0.0095669027254651,0.0095669027254651,0.01414783457497212,0.1685518439285114,0.08905937332698825
upper_shadow,0.015895981236730028,0.015895981236730028,0.012897674939794445,0.15365792425496963,0.08477695274584983
ma_10,0.009018841437796814,0.009018841437796814,0.01319853529607257,0.15724225848979134,0.08313054996379408
BB_upper,0.008347010499995798,0.008347010499995798,0.013229811452607893,0.15761487055470416,0.08298094052734999
ma_5,0.008202719108317874,0.008202719108317874,0.01258088502553869,0.14988381141085844,0.07904326525958816
vol_ratio_20,0.0159659868471655,0.0159659868471655,0.011692513080058618,0.13930009072119803,0.07763303878418176
gap,0.011406976501865866,0.011406976501865866,0.012037913622415852,0.14341505955262676,0.07741101802724631
ret_60d,0.011024617266001728,0.011024617266001728,0.011836628727848492,0.1410170289597117,0.07602082311285671
vol_sky_floor_ratio,0.015206982277023566,0.015206982277023566,0.009386303896128628,0.11182480407034084,0.06351589317368221
MACD_DIF_slope,0.009666344681654233,0.009666344681654233,0.009664028515836275,0.11513350806373346,0.06239992637269384
vol_change_1d,0.051785117936171125,0.051785117936171125,0.006077019650514581,0.07239926804742479,0.062092192991797954
MACD_DEA,0.008414663414266523,0.008414663414266523,0.007011007989076801,0.0835264448488046,0.045970554131535564
ret_5d,0.01134221477081597,0.01134221477081597,0.006326413127191872,0.07537044573083239,0.04335633025082418
ma_10_bias,0.012483193677441178,0.012483193677441178,0.005433874487460255,0.06473708465306437,0.03861013916525277
max_dd_20d,0.011275348617626808,0.011275348617626808,0.0048898116199316095,0.058255329508908854,0.03476533906326783
RSI_6,0.011970743334556052,0.011970743334556052,0.004049147973548273,0.048239987092321635,0.030105365213438845
vol_sky,0.0001992539229856176,0.0001992539229856176,0.004281767114414774,0.051011321809188874,0.025605287866087244
white_yellow_diff,0.009329619702573962,0.009329619702573962,0.0031220668057578256,0.03719509965923645,0.023262359680905207
ma_20_60_cross,0.0001430122129293437,0.0001430122129293437,0.001408940591755858,0.016785574744158042,0.008464293478543692
brick_green_to_red,0.00033765118822512435,0.00033765118822512435,0.0008937539906769692,0.010647840300137637,0.005492745744181381
brick_red_to_green,0.0,0.0,0.0,0.0,0.0
cross_below_yellow,0.0,0.0,0.0,0.0,0.0
vol_after_double_shrink,0.0,0.0,0.0,0.0,0.0
vol_floor,0.0,0.0,0.0,0.0,0.0
vol_double_again,0.0,0.0,0.0,0.0,0.0
vol_long_yin_short,0.0,0.0,0.0,0.0,0.0
white_above_yellow,0.0,0.0,0.0,0.0,0.0
