date,strategy_nav,csi500_nav,excess_nav,strategy_daily_ret,csi500_daily_ret,daily_excess,strategy_cum_ret,csi500_cum_ret,excess_cum,n_positions,cash,position_value,total_equity,oamv_state,oamv_divergence
2026-04-10,1.0824,1.0416,0.0409,-0.005166,0.008955,-0.014121,0.082213,0.041584,0.04086,9,38464.0,177979.0,216443.0,bullish,none
2026-04-13,1.0918,1.0414,0.0504,0.008613,-0.000209,0.008823,0.091535,0.041366,0.050401,12,22850.0,195457.0,218307.0,bullish,none
2026-04-14,1.1143,1.0572,0.0572,0.020659,0.01517,0.005489,0.114085,0.057164,0.057158,12,22850.0,199967.0,222817.0,bullish,none
2026-04-15,1.1033,1.0513,0.052,-0.009884,-0.005501,-0.004384,0.103073,0.051349,0.051959,11,44184.0,176431.0,220615.0,bullish,none
2026-04-16,1.1201,1.0691,0.0509,0.015194,0.016907,-0.001713,0.119833,0.069124,0.050947,11,44184.0,179783.0,223967.0,bullish,none
2026-04-17,1.1249,1.0736,0.0513,0.004335,0.00417,0.000165,0.124688,0.073583,0.051344,11,44184.0,180754.0,224938.0,bullish,none
2026-04-20,1.1346,1.0835,0.0511,0.00862,0.009231,-0.000612,0.134382,0.083493,0.05113,15,20792.0,206084.0,226876.0,bullish,none
2026-04-21,1.1348,1.0809,0.0539,0.000182,-0.002376,0.002558,0.134588,0.080919,0.053911,14,33131.0,193787.0,226918.0,bullish,none
2026-04-22,1.1453,1.0948,0.0506,0.009268,0.012799,-0.003532,0.145103,0.094754,0.050593,14,33131.0,195890.0,229021.0,bullish,none
2026-04-23,1.1355,1.0842,0.0513,-0.00858,-0.009667,0.001087,0.135278,0.084171,0.051349,14,33131.0,193925.0,227056.0,aggressive,none
2026-04-24,1.1181,1.078,0.0401,-0.015316,-0.005706,-0.009611,0.11789,0.077985,0.040143,10,102006.0,121572.0,223578.0,bullish,none
2026-04-27,1.116,1.0847,0.0313,-0.00189,0.006204,-0.008095,0.115777,0.084673,0.031341,15,40450.0,182705.0,223155.0,bullish,none
2026-04-28,1.1121,1.0722,0.0399,-0.003485,-0.011458,0.007972,0.111888,0.072245,0.039879,12,76463.0,145915.0,222378.0,bullish,none
2026-04-29,1.1225,1.0903,0.0321,0.009287,0.016877,-0.00759,0.122214,0.090342,0.032111,10,95893.0,128550.0,224443.0,bullish,none
2026-04-30,1.1201,1.0913,0.0289,-0.002058,0.000849,-0.002908,0.119904,0.091268,0.028874,10,95893.0,128088.0,223981.0,bullish,none
2026-05-06,1.1484,1.1225,0.0259,0.025217,0.028616,-0.003399,0.148144,0.122496,0.025893,13,75437.0,154192.0,229629.0,aggressive,none
2026-05-07,1.1623,1.1367,0.0256,0.012119,0.012617,-0.000498,0.162059,0.136658,0.025648,11,95840.0,136572.0,232412.0,aggressive,none
2026-05-08,1.1722,1.1363,0.0358,0.008481,-0.000302,0.008783,0.171914,0.136315,0.035848,10,115784.0,118599.0,234383.0,bullish,none
