date,code,shares,buy_price,buy_date,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,weight
2026-01-29,601336,200,79.3,2026-01-27,85.01,17002.0,1137.24,7.17,2.6999999999999997
2026-01-29,601872,1000,11.22,2026-01-27,11.03,11030.0,-193.37,-1.72,2.25
2026-01-30,000657,900,30.0,2026-01-07,48.5,43650.0,16641.9,61.62,2.34
2026-01-30,002230,200,60.68,2026-01-30,59.6,11920.0,-219.64,-1.81,3.6854999999999998
2026-01-30,600733,1700,8.36,2026-01-28,8.05,13685.0,-531.26,-3.74,2.25
2026-01-30,601126,200,31.8,2026-01-08,37.52,7504.0,1142.09,17.95,2.6999999999999997
2026-01-30,601336,200,79.3,2026-01-27,83.2,16640.0,775.24,4.89,2.6999999999999997
2026-01-30,603317,600,13.12,2026-01-30,13.23,7938.0,63.64,0.81,2.6999999999999997
2026-02-02,000657,900,30.0,2026-01-07,45.6,41040.0,14031.9,51.95,2.34
2026-02-02,000973,900,12.15,2026-02-02,11.93,10737.0,-201.28,-1.84,2.0475
2026-02-02,002812,300,50.9,2026-02-02,50.92,15276.0,1.42,0.01,5.265
2026-02-02,601126,200,31.8,2026-01-08,37.73,7546.0,1184.09,18.61,2.6999999999999997
2026-02-02,601336,200,79.3,2026-01-27,80.88,16176.0,311.24,1.96,2.6999999999999997
2026-02-02,603317,600,13.12,2026-01-30,13.23,7938.0,63.64,0.81,2.6999999999999997
2026-02-03,000657,900,30.0,2026-01-07,47.02,42318.0,15309.9,56.69,2.34
2026-02-03,002812,300,50.9,2026-02-02,51.7,15510.0,235.42,1.54,5.265
2026-02-03,601126,200,31.8,2026-01-08,40.52,8104.0,1742.09,27.38,2.6999999999999997
2026-02-03,601179,800,15.6,2026-02-03,15.76,12608.0,124.26,1.0,6.1425
2026-02-03,601336,200,79.3,2026-01-27,80.47,16094.0,229.24,1.44,2.6999999999999997
2026-02-03,603317,600,13.12,2026-01-30,13.47,8082.0,207.64,2.64,2.6999999999999997
2026-02-04,000066,700,16.08,2026-02-04,16.11,11277.0,17.62,0.16,3.51
2026-02-04,000657,900,30.0,2026-01-07,46.88,42192.0,15183.9,56.22,2.34
2026-02-04,002008,100,50.25,2026-02-04,50.39,5039.0,12.49,0.25,10.53
2026-02-04,002044,300,7.18,2026-02-04,7.25,2175.0,20.35,0.94,3.51
2026-02-04,002607,300,2.87,2026-02-04,2.88,864.0,2.74,0.32,3.51
2026-02-04,002812,300,50.9,2026-02-02,52.96,15888.0,613.42,4.02,5.265
