action,date,code,price,shares,cost,weight,regime,pnl,pnl_pct,reason,proceeds
SELL,2026-01-28,601872,11.17,1300,,,,-88.25,-0.6,sig_close(T+1),14502.12
BUY,2026-01-28,002222,70.3,100,7032.11,1.3649999999999998,normal,,,,
SELL,2026-01-29,002756,53.6,100,,,,-78.6,-1.45,sig_close(T+5),5353.03
SELL,2026-01-29,002222,66.88,100,,,,-352.8,-5.02,candle_normal(T+1),6679.31
BUY,2026-01-28,600733,8.36,2000,16725.02,2.25,normal,,,,
BUY,2026-01-29,601058,16.28,400,6513.95,1.638,normal,,,,
SELL,2026-01-30,002240,35.55,400,,,,-798.98,-5.33,candle_normal(T+6),14201.51
SELL,2026-01-30,600733,8.05,2000,,,,-645.95,-3.86,candle_normal(T+2),16079.07
SELL,2026-01-30,601058,15.85,400,,,,-182.2,-2.8,candle_normal(T+1),6331.76
BUY,2026-02-02,000973,12.15,1600,19445.83,2.0475,normal,,,,
BUY,2026-02-02,002812,50.9,500,25457.63,5.265,normal,,,,
SELL,2026-02-03,000973,12.23,1600,,,,96.73,0.5,sig_close(T+1),19542.56
BUY,2026-02-03,601179,15.6,1300,20286.08,6.1425,normal,,,,
SELL,2026-02-04,601179,15.54,1300,,,,-110.35,-0.54,sig_close(T+1),20175.74
BUY,2026-02-04,000066,16.08,1100,17693.31,3.51,normal,,,,
BUY,2026-02-04,002001,27.46,100,2746.82,1.5,normal,,,,
BUY,2026-02-04,002008,50.25,100,5026.51,10.53,normal,,,,
BUY,2026-02-04,002156,49.8,100,4981.49,3.51,normal,,,,
SELL,2026-02-05,000066,15.86,1100,,,,-269.99,-1.53,candle_normal(T+1),17423.32
SELL,2026-02-05,002008,48.95,100,,,,-137.87,-2.74,sig_close(T+1),4888.64
SELL,2026-02-05,002156,47.72,100,,,,-215.7,-4.33,candle_normal(T+1),4765.8
BUY,2026-02-04,002428,35.88,300,10767.23,2.34,normal,,,,
SELL,2026-02-05,603699,57.45,100,,,,415.94,7.82,rotate,5737.53
BUY,2026-02-05,002128,28.62,300,8588.58,2.6999999999999997,normal,,,,
SELL,2026-02-06,002428,34.04,300,,,,-568.5,-5.28,candle_normal(T+2),10198.72
SELL,2026-02-06,002128,28.18,300,,,,-145.57,-1.69,sig_close(T+1),8443.01
BUY,2026-02-04,002850,165.24,100,16528.96,2.25,normal,,,,
BUY,2026-02-04,600029,7.63,500,3816.14,1.5,normal,,,,
SELL,2026-02-09,002001,29.83,100,,,,232.3,8.46,rotate,2979.12
BUY,2026-02-09,002240,36.9,200,7382.21,2.9250000000000003,normal,,,,
BUY,2026-02-09,600160,39.6,100,3961.19,3.51,normal,,,,
SELL,2026-02-10,002240,35.57,200,,,,-277.46,-3.76,candle_normal(T+1),7104.75
BUY,2026-02-10,000021,28.47,200,5695.71,5.265,normal,,,,
BUY,2026-02-10,000831,55.0,100,5501.65,3.51,normal,,,,
BUY,2026-02-10,002185,14.01,100,1401.42,5.265,normal,,,,
SELL,2026-02-10,600029,8.12,500,,,,238.58,6.25,rotate,4054.72
BUY,2026-02-10,600295,15.28,100,1528.46,2.9250000000000003,normal,,,,
BUY,2026-02-10,601212,10.1,100,1010.3,4.5,normal,,,,
SELL,2026-02-11,000021,28.12,200,,,,-79.02,-1.39,candle_normal(T+1),5616.69
SELL,2026-02-11,002185,13.8,100,,,,-23.21,-1.66,candle_normal(T+1),1378.21
SELL,2026-02-11,601212,9.77,100,,,,-34.57,-3.42,candle_normal(T+1),975.73
BUY,2026-02-12,603568,27.58,200,5517.65,3.51,normal,,,,
SELL,2026-02-13,600160,38.81,100,,,,-85.23,-2.15,candle_normal(T+4),3875.95
BUY,2026-02-13,002131,9.0,500,4501.35,7.02,normal,,,,
BUY,2026-02-25,000100,4.78,400,1912.57,5.265,normal,,,,
BUY,2026-02-25,601212,10.65,100,1065.32,8.775,normal,,,,
SELL,2026-03-05,002850,157.01,100,,,,-848.37,-5.13,candle_normal(T+15),15680.59
SELL,2026-03-05,002131,8.57,500,,,,-221.92,-4.93,candle_normal(T+8),4279.43
SELL,2026-03-05,601212,10.04,100,,,,-62.62,-5.88,candle_normal(T+6),1002.69
BUY,2026-03-06,002195,10.77,1300,14005.2,10.53,normal,,,,
SELL,2026-03-09,000100,4.77,400,,,,-7.05,-0.37,sig_close(T+8),1905.52
SELL,2026-03-09,002195,10.65,1300,,,,-178.2,-1.27,candle_normal(T+1),13827.0
SELL,2026-03-11,000831,54.9,100,,,,-18.79,-0.34,sig_close(T+15),5482.86
BUY,2026-03-11,600105,28.2,600,16925.08,5.265,normal,,,,
BUY,2026-03-11,601208,31.6,200,6321.9,3.375,normal,,,,
SELL,2026-03-12,600105,27.35,600,,,,-536.41,-3.17,candle_normal(T+1),16388.67
BUY,2026-03-12,000703,13.09,1100,14403.32,5.3999999999999995,normal,,,,
SELL,2026-03-16,000703,12.11,1100,,,,-1099.64,-7.63,candle_normal(T+2),13303.68
SELL,2026-03-17,603568,27.3,200,,,,-64.75,-1.17,candle_normal(T+17),5452.9
SELL,2026-03-17,601208,31.08,200,,,,-113.98,-1.8,candle_normal(T+4),6207.92
BUY,2026-03-17,600026,23.97,800,19181.75,7.02,normal,,,,
BUY,2026-03-17,601872,16.8,500,8402.52,7.02,normal,,,,
SELL,2026-03-19,600026,23.73,800,,,,-222.43,-1.16,sig_close(T+2),18959.32
BUY,2026-03-19,002156,46.38,200,9278.78,3.51,normal,,,,
BUY,2026-03-19,600875,38.6,200,7722.32,3.51,normal,,,,
BUY,2026-03-19,603308,62.22,100,6223.87,3.51,normal,,,,
SELL,2026-03-20,600295,14.93,100,,,,-37.4,-2.45,sig_close(T+22),1491.06
SELL,2026-03-20,002156,44.34,200,,,,-422.31,-4.55,candle_normal(T+1),8856.47
SELL,2026-03-20,600875,36.9,200,,,,-351.91,-4.56,candle_normal(T+1),7370.41
SELL,2026-03-20,603308,60.19,100,,,,-212.69,-3.42,candle_normal(T+1),6011.18
BUY,2026-03-19,002261,37.5,100,3751.12,1.5749999999999997,normal,,,,
BUY,2026-03-19,600584,44.79,200,8960.69,2.6999999999999997,normal,,,,
SELL,2026-03-23,002261,34.28,100,,,,-327.58,-8.73,candle_normal(T+2),3423.54
SELL,2026-03-23,600584,39.08,200,,,,-1154.85,-12.89,candle_normal(T+2),7805.84
BUY,2026-03-23,002756,61.0,100,6101.83,0.8399999999999999,normal,,,,
BUY,2026-03-24,000688,33.24,100,3325.0,1.5749999999999997,normal,,,,
BUY,2026-03-24,000703,12.29,700,8605.58,5.3999999999999995,normal,,,,
BUY,2026-03-25,000039,11.41,200,2282.68,4.5,normal,,,,
SELL,2026-03-25,002756,72.41,100,,,,1129.76,18.52,rotate,7231.59
BUY,2026-03-25,600236,9.43,300,2829.85,2.34,normal,,,,
BUY,2026-03-25,600487,46.08,100,4609.38,10.53,normal,,,,
SELL,2026-03-25,000688,37.58,100,,,,428.12,12.88,rotate,3753.11
BUY,2026-03-25,601991,4.18,600,2508.75,2.6999999999999997,normal,,,,
SELL,2026-03-26,601872,16.69,500,,,,-68.37,-0.81,sig_close(T+7),8334.15
BUY,2026-03-26,002281,84.77,100,8479.54,7.3709999999999996,normal,,,,
BUY,2026-03-26,002429,9.71,200,1942.58,5.265,normal,,,,
BUY,2026-03-26,601117,9.36,100,936.28,7.02,normal,,,,
SELL,2026-03-27,000039,11.22,200,,,,-41.6,-1.82,candle_normal(T+2),2241.08
SELL,2026-03-27,002281,84.5,100,,,,-40.53,-0.48,sig_close(T+1),8439.01
SELL,2026-03-27,002429,9.71,200,,,,-3.11,-0.16,sig_close(T+1),1939.48
SELL,2026-03-27,601117,9.1,100,,,,-27.46,-2.93,sig_close(T+1),908.82
SELL,2026-03-30,600236,9.4,300,,,,-13.51,-0.48,sig_close(T+3),2816.33
SELL,2026-03-30,601991,4.13,600,,,,-33.97,-1.35,candle_normal(T+3),2474.78
BUY,2026-03-30,002378,32.66,200,6533.96,2.457,normal,,,,
