date,close_sh,amount_sh,amount_sz,amount_total
2022-12-20,3073.7659,261716073400.0,378107632800.0,639823706200.0
2022-12-21,3068.4105,226852792600.0,347827238900.0,574680031500.0
2022-12-22,3054.4313,266315477400.0,391173438000.0,657488915400.0
2022-12-23,3045.8664,233335246200.0,352043828700.0,585379074900.0
2022-12-26,3065.5626,255470265300.0,368805661800.0,624275927100.0
2022-12-27,3095.5678,267946785400.0,400690168500.0,668636953900.0
2022-12-28,3087.3997,260508525700.0,390261750000.0,650770275700.0
2022-12-29,3073.7016,253916981200.0,360827045200.0,614744026400.0
2022-12-30,3089.2579,250355950900.0,353707649800.0,604063600700.0
2023-01-03,3116.5119,331392138900.0,457443911900.0,788836050800.0
2023-01-04,3123.5164,316391228700.0,467334510200.0,783725738900.0
2023-01-05,3155.2162,335635934500.0,507125753800.0,842761688300.0
2023-01-06,3157.6365,338539843700.0,499549690500.0,838089534200.0
2023-01-09,3176.0845,342693771000.0,464473354300.0,807167125300.0
2023-01-10,3169.5072,310357698600.0,436844214800.0,747201913400.0
2023-01-11,3161.8376,309248892900.0,432601300500.0,741850193400.0
2023-01-12,3163.4509,275371843300.0,406082464900.0,681454308200.0
2023-01-13,3195.3059,288062499100.0,414249451500.0,702311950600.0
2023-01-16,3227.5916,413219641000.0,503878168700.0,917097809700.0
2023-01-17,3224.2448,302611778500.0,404543870900.0,707155649400.0
2023-01-18,3224.406,266068176700.0,369658040600.0,635726217300.0
2023-01-19,3240.2794,296815557300.0,390151666400.0,686967223700.0
2023-01-20,3264.8138,329028168400.0,420081970800.0,749110139200.0
2023-01-30,3269.318,453177014100.0,608917708200.0,1062094722300.0
2023-01-31,3255.6692,375260749600.0,524922474800.0,900183224400.0
2023-02-01,3284.9213,413395187700.0,591211958800.0,1004607146500.0
2023-02-02,3285.6705,428662803400.0,595594549900.0,1024257353300.0
2023-02-03,3263.4059,378648523000.0,536009517800.0,914658040800.0
2023-02-06,3238.6978,349127264900.0,525584144400.0,874711409300.0
2023-02-07,3248.094,321257641900.0,524398559200.0,845656201100.0
2023-02-08,3232.1063,293332736100.0,511448766900.0,804781503000.0
2023-02-09,3270.3826,351760831700.0,549344191400.0,901105023100.0
2023-02-10,3260.6734,341749872000.0,551126051000.0,892875923000.0
2023-02-13,3284.1599,397011413400.0,582132385100.0,979143798500.0
2023-02-14,3293.2825,355558052400.0,558431029800.0,913989082200.0
2023-02-15,3280.4919,357621816100.0,579686819500.0,937308635600.0
2023-02-16,3249.0295,468382512200.0,724618469000.0,1193000981200.0
2023-02-17,3224.0243,355625842500.0,558493619100.0,914119461600.0
2023-02-20,3290.3383,397720315300.0,552058242200.0,949778557500.0
2023-02-21,3306.5236,390691271600.0,530710903400.0,921402175000.0
2023-02-22,3291.1477,320515620000.0,462831583800.0,783347203800.0
2023-02-23,3287.477,334364534400.0,472884405000.0,807248939400.0
2023-02-24,3267.1597,308004347700.0,417778046800.0,725782394500.0
2023-02-27,3258.0344,324605090900.0,429031645700.0,753636736600.0
2023-02-28,3279.6053,318030137300.0,438728229900.0,756758367200.0
2023-03-01,3312.3478,384387413800.0,534542031200.0,918929445000.0
2023-03-02,3310.6536,389390626900.0,544079910400.0,933470537300.0
2023-03-03,3328.3927,388860006700.0,480634863200.0,869494869900.0
2023-03-06,3322.0259,431616811100.0,519291321900.0,950908133000.0
2023-03-07,3285.0988,430081145200.0,502562851600.0,932643996800.0
2023-03-08,3283.2479,312822175700.0,405672051600.0,718494227300.0
2023-03-09,3276.0937,328825695500.0,427827723200.0,756653418700.0
2023-03-10,3230.0766,342198577600.0,467353246800.0,809551824400.0
2023-03-13,3268.6955,364414206500.0,474946171000.0,839360377500.0
2023-03-14,3245.3123,409976276100.0,522440932700.0,932417208800.0
2023-03-15,3263.3148,373276384400.0,445104875400.0,818381259800.0
2023-03-16,3226.8912,392910208400.0,452132167200.0,845042375600.0
2023-03-17,3250.546,431983057700.0,541126224300.0,973109282000.0
2023-03-20,3234.9103,480292404900.0,577224812700.0,1057517217600.0
2023-03-21,3255.6505,388047055900.0,504999749000.0,893046804900.0
2023-03-22,3265.7475,382509081300.0,575341080600.0,957850161900.0
2023-03-23,3286.6491,426564792600.0,594115483000.0,1020680275600.0
2023-03-24,3265.6537,430761598900.0,643967262500.0,1074728861400.0
2023-03-27,3251.3971,453585768700.0,686374442100.0,1139960210800.0
2023-03-28,3245.376,396882943400.0,607318157300.0,1004201100700.0
2023-03-29,3240.0568,405542776900.0,575550878900.0,981093655800.0
2023-03-30,3261.2485,401634271100.0,543036386500.0,944670657600.0
2023-03-31,3272.8602,396689286300.0,556599139900.0,953288426200.0
2023-04-03,3296.396,513390565500.0,739594240700.0,1252984806200.0
2023-04-04,3312.5578,555811064000.0,768756861500.0,1324567925500.0
2023-04-06,3312.628,506500167200.0,686781052700.0,1193281219900.0
2023-04-07,3327.6457,436372798900.0,617625658300.0,1053998457200.0
2023-04-10,3315.3578,516434325400.0,709144488900.0,1225578814300.0
2023-04-11,3313.5705,466895849300.0,616280318600.0,1083176167900.0
2023-04-12,3327.1816,482066170100.0,650077105600.0,1132143275700.0
2023-04-13,3318.3638,477587943400.0,659253406500.0,1136841349900.0
2023-04-14,3338.1525,478345417500.0,636677409100.0,1115022826600.0
2023-04-17,3385.6095,523790271000.0,597034448700.0,1120824719700.0
2023-04-18,3393.3312,474287388900.0,585692909700.0,1059980298600.0
2023-04-19,3370.1283,476496941000.0,606129019800.0,1082625960800.0
2023-04-20,3367.031,499672394200.0,639013483700.0,1138685877900.0
2023-04-21,3301.2575,530517857800.0,687349533800.0,1217867391600.0
2023-04-24,3275.413,473265986300.0,610062481200.0,1083328467500.0
2023-04-25,3264.8717,494240131400.0,639693500600.0,1133933632000.0
2023-04-26,3264.1006,480418149400.0,641802706100.0,1122220855500.0
2023-04-27,3285.8844,466175350400.0,578698180300.0,1044873530700.0
2023-04-28,3323.2746,514904620700.0,601892954700.0,1116797575400.0
2023-05-04,3350.4587,550494850300.0,621189213600.0,1171684063900.0
2023-05-05,3334.5028,499294430500.0,571854889800.0,1071149320300.0
2023-05-08,3395.0036,564661993500.0,572226574700.0,1136888568200.0
2023-05-09,3357.6707,619108477500.0,602613001100.0,1221721478600.0
2023-05-10,3319.1506,489553667300.0,530434508400.0,1019988175700.0
2023-05-11,3309.5512,401313953400.0,494561743600.0,895875697000.0
2023-05-12,3272.3619,387081199300.0,460978545700.0,848059745000.0
2023-05-15,3310.7367,431706863300.0,506569506000.0,938276369300.0
2023-05-16,3290.9874,385386011200.0,480861767200.0,866247778400.0
2023-05-17,3284.232,340482661500.0,440904311000.0,781386972500.0
2023-05-18,3297.3199,368435071000.0,511460754700.0,879895825700.0
2023-05-19,3283.5417,359507956500.0,488437270900.0,847945227400.0
2023-05-22,3296.4696,342448401600.0,452958772700.0,795407174300.0
2023-05-23,3246.238,324667932900.0,441061218900.0,765729151800.0
2023-05-24,3204.7494,342677325700.0,460008235600.0,802685561300.0
2023-05-25,3201.2605,347709231700.0,509217799400.0,856927031100.0
2023-05-26,3212.5038,333319266000.0,487173622500.0,820492888500.0
2023-05-29,3221.4484,377875996100.0,542920609300.0,920796605400.0
2023-05-30,3224.2133,376622572900.0,556589545800.0,933212118700.0
2023-05-31,3204.5644,384999190200.0,553781824200.0,938781014400.0
2023-06-01,3204.6345,400981483200.0,585600591800.0,986582075000.0
2023-06-02,3230.0686,377507927700.0,563121358400.0,940629286100.0
2023-06-05,3232.441,357810090600.0,515963796700.0,873773887300.0
2023-06-06,3195.3404,387492228800.0,549964902600.0,937457131400.0
2023-06-07,3197.7587,331083866700.0,483428011500.0,814511878200.0
2023-06-08,3213.5855,353551633200.0,505966211100.0,859517844300.0
2023-06-09,3231.4055,413341768400.0,576348803000.0,989690571400.0
2023-06-12,3228.8336,403241619600.0,562164566400.0,965406186000.0
2023-06-13,3233.6734,377193491400.0,564979962200.0,942173453600.0
2023-06-14,3228.9887,404009517800.0,596560477500.0,1000569995300.0
2023-06-15,3252.9751,437522981500.0,634830980600.0,1072353962100.0
2023-06-16,3273.3341,444375632400.0,623260890900.0,1067636523300.0
2023-06-19,3255.8057,455226178200.0,651260366500.0,1106486544700.0
2023-06-20,3240.3648,433243981500.0,656500454600.0,1089744436100.0
2023-06-21,3197.9011,406234561400.0,615571109900.0,1021805671300.0
2023-06-26,3150.6189,398859657400.0,578271793600.0,977131451000.0
2023-06-27,3189.4427,354487810600.0,486441509800.0,840929320400.0
2023-06-28,3189.3758,360118192500.0,527868516000.0,887986708500.0
2023-06-29,3182.3812,340636710900.0,524238390400.0,864875101300.0
2023-06-30,3202.0623,359739563400.0,558752689400.0,918492252800.0
2023-07-03,3243.975,421353472400.0,603094147000.0,1024447619400.0
2023-07-04,3245.3492,387115944100.0,542016354500.0,929132298600.0
2023-07-05,3222.9469,351234984700.0,516418678100.0,867653662800.0
2023-07-06,3205.5748,320808312600.0,498914642900.0,819722955500.0
